"path","bytes","sha256","tracked","action","reason"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_figures_exports.log","896","0A98D709B4090D8B599F22A6C0BC4EB5BCFECCD81A0C7C8B988215ADB8B8D3F9","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_final_validation.log","1041","F3B9845C144BF574D9C11808A92CB91DA5F81DE5E8E2ED3729714E19F0BFC529","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_inventory.log","5267","CFBF59BF1B954E1BD4B528B0797A0CCC418F4656F1336132916BF3F18E0D271B","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_preflight.log","520","FD23BCD6C1FB11BD1964B0E93AA90D5D374221CEA112E946BF17C6EBEAA87211","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_reference.log","2272","851562362BA671FAF1985D8FAFEA3785EA61E74082E66E0EA3D2638ED5E7F059","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_sweep.log","1842","D8D11CC30F3F70071539E778964E0F3E74429F17074735CD1C391E21BD2392EA","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/fig2_refine_baseline.log","104","2F3E5C95153CF92B87901DAC4282A846E9122D91DA3470940609D54DEF9975E1","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/fig2_refine_compute.log","1554","87BEC8FA9185A651B08D1EC09137A1CF464F726BAD685D133051F48E688465F5","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/fig2_refine_figure_validation.log","897","D7FA571AEC7A5E91ACAC7359C240C7BCA82DB3E08279845F20A9F047DBABB47A","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/fig2_refine_layout_review.log","134","3BB375A3BDC060B18721E03D3F430574CE723EB97CC63EC0EB4D39C105C78C78","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/FINALIZE_EVIDENCE_STOP.json","2266","B5E606E695ADC7B9AA2EF9746ED0AA1045C09316A6881B0AAF530351E45154CC","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/FINALIZE_STOP_REPORT.md","8578","67398E04BC3AE11A3FDAD30433B76131983F5743777067D77DC9C9F183A5B60F","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/gain_time_code_check.log","406","5DAAE8739F93AD8D2A903B7302C7D4213D0AFB387EC5A5BE1D4C7705DDE23158","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/gain_time_compute.log","608","6C3133ACE635ABCC208A33717A1EA6A4947FBCDCB7F6B23B743CC4CCC6FE7075","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/gain_time_figure_check_fixed.log","134","3BB375A3BDC060B18721E03D3F430574CE723EB97CC63EC0EB4D39C105C78C78","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/gain_time_figure_validation.log","664","69636BD74D60C027AF14FF468C61769577FB75FE8837C022EFF424D009FEEFBA","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/gain_time_final_code_check.log","55","192A4BF7510BF30043B25C1B6FCF37915C97A83CE1652A2F4D30A96FFA7218D4","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_analysis_audit.log","13123","C793CD464ED0C8522E808AA2B05DB66D72A65D958B8865CA2181A3757DC4CEBA","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_analysis_unit.log","988","6CB42B9E6180860EBFFB8D318C7B9339BCD7B81DF74976B71C60EFA94432E041","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_figure_audit.log","99","F6570CB5BF938D6852633B6C9C39678365791CB2C6466D1CB9F1A357FCF8AE79","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/PREDICTION_IMPLEMENTATION_STOP.md","8259","6AA3BD975C883E29DF0763B4F18DA5BDB479EA723AA8A5AA019EF16BC3E1F112","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_pipeline_unit.log","349","4EEADC044C6FB54B626F990C143329C35246D915BB5B4C77F2512E998771512E","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_preflight_repair.log","1395","806698F5C009BFFA478836FC252F9CBD92D47D4709935A5E5B96689309722C33","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/PREDICTION_PREFLIGHT_STOP.md","6654","735BD9A675C197D20846A2533732291F87F64A865B513516F9EEBE4BA0ABCDE9","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_preflight.log","486","31A2DB2CFA99963090AAB2402B77552C81BD9934DA259E1E285951E7DAC79E2D","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_preserve_repair.ps1","2980","E504931881C08110DCF5F03A740E4466957263134BA31CD79DAC68F8A836690D","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/prediction_production.log","8983","960B37BDA675AE79CC79D91699509BFE1510AA3ED7BEF79C203A521026D16BA3","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/STOP_REPORT.md","9175","09682910BEB638ACE1918590E2A57DA84FAA0079C6956E29586689D33200FBE8","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"results/stage_3/current/prediction_validation/code_analyzer_completion.json","267","FC716E9D3AB66359F47AC9F5B434EF1D8CC5062BCE88EA37D93908AE2FE6DB77","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"results/stage_3/current/prediction_validation/code_analyzer_prepublication.json","1060","5EE7DA67638EB29555727F7C7B645F62AB25B8D7FD190EE18CA0D388D95A7BCA","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"results/stage_3/current/prediction_validation/code_analyzer_repair.json","463","C9564AEC1074515C5096EC5BACDD4B33CC38DD4C346AFDFE795C8FDBA048B6CC","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"results/stage_3/current/prediction_validation/code_analyzer.json","140","4CA6DFD7B27864788AF3409B98E15E6A1272944C8E0E147E936618C94AC72796","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"run_stage_3_finalize.m","2805","9069C6E73C41193D94254C87ACDF73F2BEC63382A0B95870BFF5AE61E4C0891D","True","REMOVE","Duplicate current figures/validate entry point; run_stage_3 provides identical current actions; no executable callers"
"artifacts/manifests/stage3_cortical_state_feasibility/postgo_production.log","3532","E5F2FE8247C4D05BD5D1C1D8267E3589F0C619CF5D5D1245331CFD0EF8D227AA","False","REMOVE","Closed current replay transcript; complete per-case identity and timing receipt retained in production_complete.json"
